"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Hydrogen cleavage by solid-phase frustrated Lewis pairs","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc04937k","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Molecular engineered nanomaterials for catalytic hydrogen evolution and oxidation","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc06311j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Copper-catalyzed/mediated borylation reactions of epoxides with diboron reagents: access to ß-hydroxyl boronic esters","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6cc07924e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Highly efficient reduction of carbon dioxide with a borane catalyzed by bis(phosphinite) pincer ligated palladium thiolate complexes","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc07987c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"UV-light promoted C–H bond activation of benzene and fluorobenzenes by an iridium(i) pincer complex","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6cc09807j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Novel glycoconjugated squaraine dyes for selective optical imaging of cancer cells","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6cc10282d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Relaxation-encoded NMR experiments for mixture analysis: REST and beer","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc03150e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Ultrafast synthesis of high-silica erionite zeolites with improved hydrothermal stability","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc03166a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"A highly active Pt–Fe/?-Al2O3 catalyst for preferential oxidation of CO in excess of H2 with a wide operation temperature window","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc03787b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Probing the reaction interface in Li–O2 batteries using electrochemical impedance spectroscopy: dual roles of Li2O2","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc06630a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Oxidative dehydrogenation reaction of short alkanes on nanostructured carbon catalysts: a computational account","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc06941c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Synthesis and EPR studies of the first water-soluble N@C60 derivative","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc07106j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Boron–nitrogen main chain analogues of polystyrene: poly(B-aryl)aminoboranes via catalytic dehydrocoupling","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc07331c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Cobalt-catalyzed acceptorless dehydrogenative coupling of aminoalcohols with alcohols: direct access to pyrrole, pyridine and pyrazine derivatives","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc07427a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Defect engineering in metal–organic frameworks: a new strategy to develop applicable actinide sorbents","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc07527h","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"A versatile single molecular precursor for the synthesis of layered oxide cathode materials for Li-ion batteries","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc08505b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"An imidazolium-functionalized mesoporous cationic metal–organic framework for cooperative CO2 fixation into cyclic carbonate","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc08630j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Arylsilylation of aryl halides using the magnetically recyclable bimetallic Pd–Pt–Fe3O4 catalyst","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc09926f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"High resolution visualization of the redox activity of Li2O2 in non-aqueous media: conformal layer vs. toroid structure","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc09957f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Correction: Light up detection of heparin based on aggregation-induced emission and synergistic counter ion displacement","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc90160g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Correction: Catalytic C–H amination driven by intramolecular ligand-to-nitrene one-electron transfer through a rhodium(iii) centre","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc90176c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Double uranium oxo cations derived from uranyl by borane or silane reduction","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc00341f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Capacity fade in high energy silicon-graphite electrodes for lithium-ion batteries","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc00456k","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Fish-in-hole: rationally positioning palladium into traps of zeolite crystals for sinter-resistant catalysts","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc00513c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Photochemically deoxygenating solvents for triplet–triplet annihilation photon upconversion operating in air","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc00780b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Brønsted acid-catalyzed formal [5+2+1] cycloaddition of ynamides and isoxazoles with water: access to oxygen-bridged tetrahydro-1,4-oxazepines","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc00881g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Modulating the physical properties of solid forms of urea using co-crystallization technology","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01144c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","1","1"
"On the making of aromatic organometallic superalkali complexes","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01170b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Reactivity of bulky Ln(ii) amidinates towards P4, As4, and As4S4","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01519h","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Silicon quantum dots with heavily boron and phosphorus codoped shell","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01612g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Elucidating ultrafast electron dynamics at surfaces using extreme ultraviolet (XUV) reflection–absorption spectroscopy","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01745j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Manganese catalyzed reductive amination of aldehydes using hydrogen as a reductant","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01787e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","1","1"
"Ball-free mechanochemistry: in situ real-time monitoring of pharmaceutical co-crystal formation by resonant acoustic mixing","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc02187b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"A full color photonic polymer, rewritable with a liquid crystal ink","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc02188k","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Modeling adatom surface processes during crystal growth: A new implementation of the Metropolis Monte Carlo algorithm","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b822973m","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","1","0"
"Chirality determination from X-ray powder data—diastereomeric co-crystals of mandelic acid and proline amide","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2ce06427h","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"One-pot structural conversion of magadiite into MFI zeolite nanosheets using mononitrogen surfactants as structure and shape-directing agents","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3ce40118a","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","3","0","0","0","2","1"
"Relationship between crystal structure and mechanical properties of ranitidine hydrochloride polymorphs","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3ce40201k","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Ternary and quaternary phase diagrams: key tools for chiral resolution through solution cocrystallization","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3ce41141a","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Synthon transferability probed with IR spectroscopy: cytosine salts as models for salts of lamivudine","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ce42156b","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","2","0","0","0","1","1"
"Metal organic framework synthesis in the presence of surfactants: towards hierarchical MOFs?","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ce02324b","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","1","0"
"Co-crystals and molecular salts of carboxylic acid/pyridine complexes: can calculated pK  a's predict proton transfer? A case study of nine complexes","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ce00102a","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","2","0","0","0","2","0"
"Green synthesis of zirconium-MOFs","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ce00618j","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","1","0"
"Formation pathways of metal–organic frameworks proceeding through partial dissolution of the metastable phase","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ce00589j","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","1","0"
